Conta,3T2024 (TTM),2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,5.37,4.84,4.21,4.32,5.46,5.36,8.45,8.72,5.16,2.55,6.56,7.13,-,-,-,-
P/VP,0.76,0.75,0.55,0.65,0.78,0.94,1.32,1.16,0.67,0.27,0.73,0.81,-,-,-,-
P/EBIT,3.40,3.10,2.71,2.71,3.46,3.54,5.50,5.27,3.39,1.60,4.19,4.47,-,-,-,-
PSR,1.19,1.16,0.85,0.98,1.13,1.23,1.81,1.55,0.93,0.38,1.06,1.21,-,-,-,-
P/Ativos,0.40,0.39,0.29,0.35,0.41,0.48,0.70,0.59,0.34,0.14,0.37,0.43,-,-,-,-
LPA,0.99,0.99,0.76,0.78,0.66,0.71,0.59,0.45,0.41,0.29,0.28,0.27,-,-,-,-
VPA,6.99,6.45,5.81,5.18,4.59,4.09,3.78,3.41,3.18,2.77,2.52,2.36,-,-,-,-
EBIT por ação,1.56,1.55,1.18,1.24,1.04,1.08,0.91,0.75,0.63,0.46,0.44,0.43,-,-,-,-
Ativo por ação,13.32,12.44,11.02,9.69,8.73,7.90,7.13,6.70,6.26,5.46,5.00,4.47,-,-,-,-
Receita líquida por ação,4.48,4.16,3.75,3.44,3.18,3.13,2.75,2.56,2.30,1.97,1.73,1.57,-,-,-,-
Margem bruta,0.5829,0.6003000000000001,0.5799,0.5927,0.5997,0.6064,0.5964,0.5978,0.5844,0.5473,0.5739,0.6029,0.6144,0.583,0.5493,0.5468
Margem líquida,0.2212,0.2389,0.203,0.2263,0.2076,0.22870000000000001,0.2144,0.1773,0.18030000000000002,0.1476,0.1611,0.17,0.15810000000000002,0.1632,0.10060000000000001,0.0992
Margem EBIT,0.349,0.373,0.3152,0.361,0.3272,0.34600000000000003,0.3293,0.29359999999999997,0.2743,0.23550000000000001,0.2525,0.2711,0.26940000000000003,0.2839,0.22469999999999998,0.22219999999999998
Margem EBITDA,0.42829999999999996,0.4493,0.39159999999999995,0.4368,0.40259999999999996,0.4175,0.3945,0.3576,0.3367,0.3009,0.3194,0.3387,0.3394,0.369,0.32189999999999996,0.33
Margem operacional,0.302,0.32170000000000004,0.2724,0.3081,0.2846,0.3078,0.2799,0.23620000000000002,0.2271,0.1819,0.21059999999999998,0.2296,0.20980000000000001,0.2112,0.1381,0.1353
ROE,0.1418,0.1543,0.1311,0.1505,0.1435,0.17489999999999997,0.1561,0.1332,0.1304,0.10490000000000001,0.1109,0.113,0.1382,0.12300000000000001,0.0683,0.0677
ROA,0.07,0.08,0.07,0.08,0.08,0.09,0.08,0.07,0.07,0.05,0.06,0.06,0.05,0.05,0.03,0.03
Giro do ativo,0.34,0.33,0.34,0.36,0.36,0.40,0.39,0.38,0.37,0.36,0.35,0.35,0.34,0.31,0.29,0.28
EBITDA,2899000000.0,2827000000.0,2221000000.0,2273000000.0,1932000000.0,1971000000.0,1642000000.0,1383000000.0,1170000000.0,893000000.0,835000000.0,802000000.0,720000000.0,642000000.0,476000000.0,458000000.0
Liquidez corrente,1.75,1.41,1.52,1.48,1.21,0.91,0.78,0.99,1.35,1.00,0.73,1.10,1.06,0.85,0.86,0.96
Liquidez seca,1.72,1.37,1.47,1.44,1.18,0.87,0.75,0.96,1.31,0.95,0.68,1.05,1.02,0.80,0.79,0.90
Liquidez imediata,0.89,0.65,0.74,0.70,0.60,0.21,0.24,0.42,0.66,0.22,0.09,0.27,0.36,0.25,0.22,0.28
Dívida bruta,6458000000.0,5777000000.0,5083000000.0,4120000000.0,3647000000.0,3080000000.0,2771000000.0,2716000000.0,2712000000.0,2336000000.0,1872000000.0,1465000000.0,960000000.0,949000000.0,1013000000.0,972000000.0
Dívida líquida,4784000000.0,4492000000.0,3875000000.0,3137000000.0,2773000000.0,2806000000.0,2444000000.0,2182000000.0,2073000000.0,2172000000.0,1803000000.0,1319000000.0,741000000.0,808000000.0,916000000.0,852000000.0
Capital de giro,1415000000.0,806000000.0,840000000.0,674000000.0,307000000.0,-121000000.0,-295000000.0,-18000000.0,339000000.0,-4000000.0,-206000000.0,57000000.0,38000000.0,-86000000.0,-65000000.0,-19000000.0
Endividamento geral,0.9070999999999999,0.9298000000000001,0.8956999999999999,0.8706999999999999,0.8998,0.9339,0.8858,0.9645999999999999,0.9661,0.9723,0.9867,0.8919,1.541,1.4083,1.3777000000000001,1.429
